Victim,Group,Date
PipelBiz.com,ransomhub,9/28/2024
Southern Fire Sprinkler,ciphbit,9/28/2024
http://www.southernfiresprinkler.com,ciphbit,9/28/2024
Direct Access Partners,incransom,9/28/2024
infina.vn,killsecurity,9/27/2024
gccustommetal.com,ElDorado,9/27/2024
actionfirepros.com,cactus,9/27/2024
actionfirepros.com\$17.4M\USA\407GB\&lt;1% DISCLOSED,cactus,9/27/2024
Xtera Communications,medusa,9/27/2024
www.law-taxes.pl,ransomhub,9/27/2024
www.tokiwa-group.co.jp,ransomhub,9/27/2024
www.careco.se,ransomhub,9/27/2024
www.vbrlogistica.com.br,ransomhub,9/27/2024
www.naniwa-pump.co.jp,ransomhub,9/27/2024
http://www.lolaliza.com,blacksuit,9/27/2024
Mile Hi Foods,play,9/26/2024
Shenango Area School District,rhysida,9/26/2024
KGK Group,dragonforce,9/26/2024
Zimmerman & Walsh,dragonforce,9/26/2024
kumhotire.com,lockbit3,9/26/2024
chcm.us,lockbit3,9/26/2024
Ful************.com,cloak,9/26/2024
Te***************.net,cloak,9/26/2024
"SchÃ?fer, dein BÃ?ckerGmbH & Co. KG",akira,9/26/2024
English Construction Company,lynx,9/26/2024
lolaliza.com - 250kk,blacksuit,9/26/2024
"SchÃ?fer, dein BÃ?cker GmbH & Co. KG",akira,9/26/2024
Israel foreign affairs minister Emails,handala,9/26/2024
tolsa.com,abyss,9/26/2024
DETROIT PBS ( PUBLIC TV ),qilin,9/25/2024
Concord Management Services,akira,9/25/2024
Lawrie Insurance Group,akira,9/25/2024
Concord Management S ervices,akira,9/25/2024
Lawrie Insurance Gro up,akira,9/25/2024
ATG Communications Group,akira,9/25/2024
ATG Communications G roup,akira,9/25/2024
Luso Cuanz?°,qilin,9/25/2024
Hairstore,medusa,9/25/2024
IP blue Software Solutions,medusa,9/25/2024
Pennvet.com,cloak,9/25/2024
triverus.com,lynx,9/25/2024
kjtait.com\$18.8M\United Kingdom\1.2TB\&lt;1% DISCLOSED,cactus,9/25/2024
www.amchar.com\$28.7M\USA\605GB\&lt;1% DISCLOSED,cactus,9/25/2024
hindlegroup.com,cactus,9/25/2024
kjtait.com,cactus,9/25/2024
www.amchar.com,cactus,9/25/2024
hindlegroup.com\$30.6M\United Kingdom\380GB\&lt;1% DISCLOSED,cactus,9/25/2024
http://menningerclinic.org,blacksuit,9/25/2024
PetEdge,play,9/25/2024
libraries.delaware.gov,ransomhub,9/24/2024
gsdwi.org,ransomhub,9/24/2024
"Bogdan Frasco, LLP",cicada3301,9/24/2024
"John W. Brooker Co., CPAs",cicada3301,9/24/2024
Hughes Gill Cochrane Tinetti,cicada3301,9/24/2024
Menninger Clinic,blacksuit,9/24/2024
https://hughes-gill.com,cicada3301,9/24/2024
Israel defense minister private photos,handala,9/24/2024
cottlesinc.com,blacksuit,9/24/2024
https://crownmortgagecompany.com,cicada3301,9/24/2024
Crown Mortgage Company,cicada3301,9/24/2024
First Choice Sales & Marketing Group (First Choice),bianlian,9/24/2024
Frigocenter,arcusmedia,9/24/2024
Partners Air,arcusmedia,9/24/2024
Solutii Sistemas,arcusmedia,9/24/2024
Nova Sinseg,arcusmedia,9/24/2024
Model Engineering,cicada3301,9/24/2024
https://designbymodel.com,cicada3301,9/24/2024
tellurianinc.org,ransomhub,9/23/2024
"Kravit, Hovel & Krawczyk SC",qilin,9/23/2024
BroadGrain Commodities,play,9/23/2024
Eurobulk,play,9/23/2024
https://cottlesinc.com,blacksuit,9/23/2024
agricola,qilin,9/23/2024
Detroit Public TV,qilin,9/23/2024
"DIamond Contracting, LLC",qilin,9/23/2024
"Kravit, Hovel &amp; Krawczyk  SC",qilin,9/23/2024
www.datacampos.com,ElDorado,9/23/2024
cucinatagliani.com,ElDorado,9/23/2024
cmclb.com,ElDorado,9/23/2024
f-t.com,abyss,9/23/2024
oleopalma.com.mx,lockbit3,9/23/2024
Avi Resort & Casino,akira,9/23/2024
Benny Gantz Hacked,handala,9/23/2024
Brown Bottling Group,akira,9/23/2024
medicheck.io,killsec,9/23/2024
Benny Gantz,handala,9/23/2024
bakpilic.com.tr,ransomhub,9/23/2024
Idre FjÃ?ll,akira,9/23/2024
Pureform Radiology Center,everest,9/23/2024
ten8fire.com,cactus,9/23/2024
https://fabricasrl.com.ar,trinity,9/23/2024
Fabrica Industrial Machinery &amp; Equipment,trinity,9/23/2024
ten8fire.com\$149M\USA\240GB\&lt;1% DISCLOSED,cactus,9/23/2024
Fabrica Industrial Machinery & Equipment,trinity,9/23/2024
Graminex,dragonforce,9/23/2024
Meli (BCYF &amp; Bethany),qilin,9/23/2024
Canstar Restorations,qilin,9/23/2024
hanwa.co.th,BrainCipher,9/22/2024
Daughterly Care,rhysida,9/22/2024
"Woodard , Hernandez , Roth & Day",qilin,9/22/2024
"Woodard , Hernandez , Roth &amp; Day",qilin,9/22/2024
savannahcandy.com,ransomhub,9/21/2024
Acho.io,ransomhub,9/21/2024
Messe C,play,9/21/2024
Jackson Paper Manufacturing,play,9/21/2024
Noble Environmental,play,9/20/2024
Omega Industries,play,9/20/2024
Pacific Coast Building Products,play,9/20/2024
Thompson Construction Supply,play,9/20/2024
Visionary Homes,incransom,9/20/2024
https://capitalprintingco.com,cicada3301,9/20/2024
Mason City Recycling Center,qilin,9/20/2024
KW Realty Group,qilin,9/20/2024
Capital Printing,cicada3301,9/20/2024
Juice Generation,FOG,9/20/2024
virainsight.com,ransomhub,9/20/2024
River Region Cardiology Associates,bianlian,9/20/2024
Greene Acres Nursing Home,rhysida,9/20/2024
aroma.com.tr,ransomhub,9/20/2024
agricola ,qilin,9/19/2024
rarholding.com,ransomhub,9/19/2024
FritzÃ¸e Engros,medusa,9/19/2024
Wilson & Lafleur,medusa,9/19/2024
Wertachkliniken.de,cloak,9/19/2024
newriverelectrical.com,ElDorado,9/19/2024
seaglesafety.com,ElDorado,9/19/2024
rccauto.com,ElDorado,9/19/2024
itasnatta.edu.it,ElDorado,9/19/2024
a1mobilelock.com,ElDorado,9/19/2024
curvc.com,ElDorado,9/19/2024
patricksanderscompany.com,ElDorado,9/19/2024
thinksimple.com,ElDorado,9/19/2024
pesprograms.com,ElDorado,9/19/2024
palmfs.com,ElDorado,9/19/2024
kennedyfunding.com,ElDorado,9/19/2024
Sunrise Farms,FOG,9/19/2024
advbe.com,ransomhub,9/19/2024
Nusser MineralÃ¶l GmbH,incransom,9/19/2024
avl1.com,ransomhub,9/19/2024
libertyfirstcu.com,ransomhub,9/19/2024
Hunter Dickinson Inc.,bianlian,9/19/2024
tims.com,abyss,9/19/2024
bspcr.com,lockbit3,9/19/2024
lakelandchamber.com,lockbit3,9/19/2024
yesmoke.eu,lockbit3,9/19/2024
efile.com,lockbit3,9/19/2024
paybito.com,lockbit3,9/19/2024
Compass Group (2nd attack),medusa,9/19/2024
Structural Concepts,medusa,9/19/2024
Vidisco,handala,9/19/2024
IIB ( Israeli Industrial Batteries ),handala,9/19/2024
Vidisco Hacked,handala,9/19/2024
IIB ( Israeli Industrial Batteries ) Hacked,handala,9/19/2024
Handala&#8217;s statement,handala,9/18/2024
Plaisted Companies,play,9/18/2024
Bertelkamp Automation ,qilin,9/18/2024
Bertelkamp Automation,qilin,9/18/2024
DJH Jugendherberge,hunters,9/18/2024
Prentke Romich Company,FOG,9/18/2024
Amerinational Community Services,medusa,9/18/2024
Providence Public School Department,medusa,9/18/2024
AZPIRED,medusa,9/18/2024
Compass Group,medusa,9/18/2024
Chernan Technology,orca,9/18/2024
gestiriego.com,threeam,9/18/2024
Port of Seattle/Seattle-Tacoma International Airport (SEA),rhysida,9/18/2024
Baskervill,play,9/18/2024
Protective Industrial Products,play,9/18/2024
Inktel,play,9/18/2024
Rsp,play,9/18/2024
Hariri Pontarini Architects,play,9/18/2024
Multidata,play,9/18/2024
Environmental Code Consultants Inc,meow,9/18/2024
EnviroNET Inc,meow,9/18/2024
Robson Planning Group Inc,meow,9/18/2024
capecodacademy.org,ransomhub,9/18/2024
oipip.gda.pl,ransomhub,9/18/2024
kryptonresources.com,ransomhub,9/18/2024
www.tta.cls,ransomhub,9/18/2024
globe.com.bd,ValenciaLeaks,9/18/2024
satiagroup.com,ValenciaLeaks,9/18/2024
duopharmabiotech.com,ValenciaLeaks,9/18/2024
tendam.es,ValenciaLeaks,9/18/2024
www.faithfc.org,ransomhub,9/18/2024
www.adantia.es,ransomhub,9/18/2024
topdoctors.com,ransomhub,9/18/2024
www.8010urbanliving.com,ransomhub,9/18/2024
www.taperuvicha.com,ransomhub,9/18/2024
www.plumbersstock.com,ransomhub,9/18/2024
www.nikpol.com.au,ransomhub,9/18/2024
www.quenotedeporten.com,ransomhub,9/18/2024
www.galloway-macleod.co.uk,ransomhub,9/18/2024
ringpower.com,ransomhub,9/18/2024
miit.gov.cn,killsec,9/17/2024
New Electric,hunters,9/17/2024
AutoCanada,hunters,9/17/2024
natcoglobal.com,cactus,9/17/2024
Sherr Puttmann Akins Lamb PC,bianlian,9/17/2024
peerlessumbrella.com,cactus,9/17/2024
thomas-lloyd.com,cactus,9/17/2024
riomarineinc.com\$56M\USA\490GB\100% DISCLOSED,cactus,9/17/2024
champeau.com\$25.5M\Canada\130GB\100% DISCLOSED,cactus,9/17/2024
natcoglobal.com\$38.5M\USA\111GB\100% DISCLOSED,cactus,9/17/2024
peerlessumbrella.com\$23.2M\USA\131GB\100% DISCLOSED,cactus,9/17/2024
thomas-lloyd.com\$66.1M\USA\2.4TB\&lt;1% DISCLOSED,cactus,9/17/2024
Mitsubishi Chemical Group pt.2,everest,9/17/2024
Cruz Marine (cruz.local),lynx,9/16/2024
SuperCommerce.ai,killsec,9/16/2024
Port of Seattle,rhysida,9/16/2024
MCNA Dental 1 million patients records,everest,9/16/2024
"Northern Safety Co., Inc.",blackbasta,9/16/2024
ExcelPlast Tunisie,orca,9/16/2024
northernsafety.com,blackbasta,9/16/2024
thompsoncreek.com,blackbasta,9/16/2024
flodraulic.com\$58.4M\USA\32GB\100% DISCLOSED,cactus,9/16/2024
balboabayresort.com\$101M\USA\790GB\100% DISCLOSED,cactus,9/16/2024
U.S. Dermatology Partners,blackbasta,9/16/2024
www.atlcc.net,ransomhub,9/15/2024
accuraterailroad.com,ransomhub,9/15/2024
advantagecdc.org,ransomhub,9/15/2024
lafuturasrl.it,ransomhub,9/15/2024
https://christen-sanitaer.ch,cicada3301,9/15/2024
http://www.bfcpas.com,cicada3301,9/15/2024
https://www.blvdresidential.com,cicada3301,9/15/2024
https://www.khoocpa.com,cicada3301,9/15/2024
https://www.kashima-coat.com,cicada3301,9/15/2024
dowley.com,lockbit3,9/15/2024
apexbrasil.com.br,lockbit3,9/15/2024
fivestarproducts.com,lockbit3,9/15/2024
ignitarium.com,lockbit3,9/15/2024
nfcaa.org,lockbit3,9/15/2024
Emtel,arcusmedia,9/15/2024
EAGLE School,qilin,9/15/2024
salaam.af,lockbit3,9/15/2024
INTERNAL.ROCKYMOUNTAINGASTRO.COM,trinity,9/15/2024
www.rockymountaingastro.com,trinity,9/15/2024
Gino Giglio Generation Spa,arcusmedia,9/15/2024
Rextech,arcusmedia,9/15/2024
Like Familyâ€™s,arcusmedia,9/15/2024
UNI-PA A.Å?,arcusmedia,9/15/2024
Announcement 9-14,arcusmedia,9/15/2024
Like Family&#8217;s,arcusmedia,9/15/2024
OnePoint Patient Care,incransom,9/15/2024
Retemex,ransomexx,9/14/2024
ORCHID-ORTHO.COM,clop,9/14/2024
jatelindo,stormous,9/14/2024
mivideo.club,stormous,9/14/2024
Micron Internet,medusa,9/14/2024
TECHNOLOG S.r.l.,medusa,9/14/2024
ecbawm.com,abyss,9/14/2024
http://www.fdlawrence.com,blacksuit,9/14/2024
www.mivideo.club,stormous,9/13/2024
FD Lawrence Electric,blacksuit,9/13/2024
True Family Enterprises,play,9/13/2024
Dimensional Merchandising,play,9/13/2024
Creative Playthings,play,9/13/2024
"Law Offices of Michael J Gurfinkel, Inc",bianlian,9/13/2024
KlockMetal,bianlian,9/13/2024
Benson Kearley IFG - Insurance Brokers and Financial Advisors,bianlian,9/13/2024
https://hostetlergroup.com/,blacksuit,9/13/2024
Hostetler Buildings,blacksuit,9/13/2024
VIcom Corporation,hunters,9/13/2024
HB Construction,hunters,9/13/2024
Associated Building Specialties,hunters,9/13/2024
Arch-Con,hunters,9/13/2024
www.southeasternretina.com,ransomhub,9/13/2024
Ascend Analytics (ascendanalytics.com),lynxblog,9/13/2024
Kingsmill Resort,qilin,9/13/2024
brunswickhospitalcenter.org,threeam,9/12/2024
ICBC (London),hunters,9/12/2024
Carpenter McCadden and Lane LLP,meow,9/12/2024
CSMR AgrupaciÃ?n de ColaboraciÃ?n Empresaria,meow,9/12/2024
thornton-inc.com,ransomhub,9/12/2024
nhbg.com.co,lockbit3,9/12/2024
mechdyne.com,ransomhub,9/12/2024
Starr-Iva Water & Sewer District,medusa,9/12/2024
Karakaya Group,medusa,9/12/2024
CNPS Cameroun,spacebears,9/12/2024
mcphillips.co.uk\$40.8M\United Kingdom\1.2TB\100% DISCLOSED,cactus,9/11/2024
rangeramerican.com\$52.9M\USA\218GB\100% DISCLOSED,cactus,9/11/2024
www.jatelindo.co.id,stormous,9/11/2024
www.galgorm.com,ransomhub,9/11/2024
allamericanpoly.com,ransomhub,9/11/2024
Charles Darwin School,blacksuit,9/11/2024
http://cdarwin.com,blacksuit,9/11/2024
Cathedral Prep (villalan.edu),incransom,9/11/2024
S. Walter Packaging,fog,9/11/2024
Clatronic International GmbH,fog,9/11/2024
Advanced Physician Management Services LLC,meow,9/11/2024
Ladov Law Firm,bianlian,9/11/2024
Arville,meow,9/11/2024
ICBC London,hunters,9/11/2024
Regent Care Center,incransom,9/11/2024
www.vinatiorganics.com,ransomhub,9/10/2024
rupicard.com,killsecurity,9/10/2024
Weldco-Beales Manufacturing,play,9/10/2024
Virginia Dare Extract Co.,play,9/10/2024
Southeast Cooler,play,9/10/2024
PIGGLY WIGGLY ALABAMA DISTRIBUTING,play,9/10/2024
Joe Swartz Electric,play,9/10/2024
Evans Distribution Systems,play,9/10/2024
Elgin Separation Solutions,play,9/10/2024
Bel-Air Bay Club,play,9/10/2024
IDF and Mossad agents,meow,9/10/2024
Vickers Engineering,akira,9/10/2024
Controlled Power,dragonforce,9/10/2024
Arc-Com,dragonforce,9/10/2024
HDI,bianlian,9/10/2024
Myelec Electrical,meow,9/10/2024
Kadokawa Co Jp,blacksuit,9/10/2024
Qeco/coeq,rhysida,9/10/2024
https://www.kadokawa.co.jp/,blacksuit,9/10/2024
E-Z Pack Holdings LLC,incransom,9/10/2024
Bank Rakyat,hunters,9/10/2024
americagraphics.com,ransomhub,9/10/2024
cityofpleasantonca.gov,ValenciaLeaks,9/10/2024
Pennsylvania State Education Association,rhysida,9/9/2024
Anniversary Holding,bianlian,9/9/2024
Battle Lumber Co.,bianlian,9/9/2024
www.unige.it,ransomhub,9/9/2024
www.dpe.go.th,ransomhub,9/9/2024
schynsassurances.be,killsecurity,9/9/2024
pv.be,killsecurity,9/9/2024
www.bsg.com.au,ransomhub,9/9/2024
www.avf-biomedical.com,ransomhub,9/9/2024
Appellation vins fins,ransomhub,9/9/2024
kahle cpa,qilin,9/9/2024
"Smart Source, Inc.",bianlian,9/9/2024
CAM | Tyre Trade Systems &amp; Solutions,qilin,9/9/2024
atlanticice.com,qilin,9/9/2024
CAM Tyre Trade Systems & Solutions,qilin,9/9/2024
Exitz Technologies,qilin,9/9/2024
Phoenix Air Conditioning &amp; Heating,qilin,9/9/2024
Phoenix Air Conditioning & Heating,qilin,9/9/2024
æ ªå?èä??ç??ãƒŸãƒ?ã‚?,cicada3301,9/9/2024
https://www.kashima-coat.com/,cicada3301,9/9/2024
Stratford School Academy,rhysida,9/8/2024
cardiovirginia.com,ransomhub,9/7/2024
Prosolit,medusa,9/7/2024
Grupo Cortefiel,medusa,9/7/2024
Nocciole Marchisio,meow,9/7/2024
Elsoms Seeds,meow,9/7/2024
Millsboro Animal Hospital,qilin,9/7/2024
NIDEC CORPORATION Data Leak,everest,9/7/2024
briedis.lt,ransomhub,9/6/2024
America Voice,medusa,9/6/2024
CK Associates,bianlian,9/6/2024
Keya Accounting and Tax Services LLC,bianlian,9/6/2024
Arbitech (arb.local),lynx,9/6/2024
ctelift.com,madliberator,9/6/2024
SESAM Informatics,hunters,9/6/2024
riomarineinc.com\$56M\USA\490GB\&lt;1% DISCLOSED,cactus,9/6/2024
champeau.com\$25.5M\Canada\130GB\&lt;1% DISCLOSED,cactus,9/6/2024
riomarineinc.com,cactus,9/6/2024
champeau.com,cactus,9/6/2024
Custom Security Systems,hunters,9/6/2024
cda.be,killsec,9/5/2024
belfius.be,killsec,9/5/2024
dvv.be,killsec,9/5/2024
Inglenorth.co.uk,ransomhub,9/5/2024
cps-k12.org,ransomhub,9/5/2024
inorde.com,ransomhub,9/5/2024
tri-tech.us,ransomhub,9/5/2024
PhD Services,dragonforce,9/5/2024
kawasaki.eu,ransomhub,9/5/2024
phdservices.net,ransomhub,9/5/2024
cbt-gmbh.de,ransomhub,9/5/2024
www.towellengineering.net,ransomhub,9/5/2024
rhp.com.br,lockbit3,9/5/2024
Baird Mandalas Brockstedt LLC,akira,9/5/2024
Baird Mandalas Brock stedt LLC,akira,9/5/2024
Imetame,akira,9/5/2024
SWISS CZ,akira,9/5/2024
Cellular Plus,akira,9/5/2024
Arch Street Capital Advisors,qilin,9/5/2024
Hospital Episcopal San Lucas,medusa,9/5/2024
www.parknfly.ca,ransomhub,9/5/2024
"Western Supplies, Inc",bianlian,9/5/2024
http://www.osda.com,blacksuit,9/4/2024
http://parrishandcompany.com,blacksuit,9/4/2024
Seirus Innovation,play,9/4/2024
Farmers' Rice Cooperative,play,9/4/2024
Crain Group,play,9/4/2024
Bakersfield,play,9/4/2024
Parrish,blacksuit,9/4/2024
www.galgorm.com&lt;Auction&gt;,ransomhub,9/4/2024
www.pcipa.com,ransomhub,9/4/2024
OSDA Contract Services,blacksuit,9/4/2024
www.bennettcurrie.co.nz,ransomhub,9/4/2024
ych.com,madliberator,9/4/2024
idom.com,lynx,9/4/2024
plannedparenthood.org,ransomhub,9/4/2024
Sunrise Erectors,hunters,9/4/2024
gardenhomesmanagement.com,ransomhub,9/4/2024
simson-maxwell.com,cactus,9/4/2024
balboabayresort.com,cactus,9/4/2024
balboabayresort.com\$101M\USA\790GB\&lt;1% DISCLOSED,cactus,9/3/2024
flodraulic.com,cactus,9/3/2024
inlighten.net&lt;Disclose&gt;,ransomhub,9/3/2024
flodraulic.com\$58.4M\USA\32GB\&lt;1% DISCLOSED,cactus,9/3/2024
mcphillips.co.uk\$40.8M\United Kingdom\1.2TB\&lt;1% DISCLOSED,cactus,9/3/2024
rangeramerican.com\$52.9M\USA\218GB\&lt;1% DISCLOSED,cactus,9/3/2024
mcphillips.co.uk,cactus,9/3/2024
rangeramerican.com,cactus,9/3/2024
Pen*****************.com,cloak,9/3/2024
El**********.hu,cloak,9/3/2024
we****************.de,cloak,9/3/2024
wilmingtoncc.org,ransomhub,9/3/2024
simson-maxwell.com\$29.4M\Canada\357GB\&lt;1% DISCLOSED,cactus,9/3/2024
VOP CZ,ransomhouse,9/3/2024
[DISCLOSED][TORRENT] Roberto Verino Difusion,ransomhouse,9/3/2024
Turman,qilin,9/3/2024
bluemaven.ca problems,monti,9/3/2024
Turman ,qilin,9/3/2024
Kingsport Imaging Systems,medusa,9/3/2024
www.pokerspa.it,ransomhub,9/2/2024
www.amberbev.com,ransomhub,9/2/2024
www.sanyo-bussan.co.jp,ransomhub,9/2/2024
Removal.AI,ransomhub,9/2/2024
Project Hospitality,rhysida,9/2/2024
Shomof Group,medusa,9/2/2024
www.sanyo-av.com&lt;Taiwan&gt;,ransomhub,9/2/2024
www.sanyo-av.com,ransomhub,9/2/2024
San Francisco Sheriff's Department (sjcso.local),incransom,9/2/2024
www.schneider.ch,ransomhub,9/2/2024
www.electriforce.com,ransomhub,9/2/2024
ERoko Distributors + Colonial Countertops,incransom,9/2/2024
QuÃ¡litas MÃ©xico,hunters,9/1/2024
welland-corp.com,trinity,9/1/2024
welland,trinity,9/1/2024
Caseificio Alta Valsesia,meow,8/31/2024
ciot.com,ransomhub,8/31/2024
White Mountain Backpacks,rhysida,8/31/2024
https://www.southwesttraders.com,blacksuit,8/31/2024
https://www.nevadaheart.com,blacksuit,8/31/2024
https://www.morningstarseniorliving.com,blacksuit,8/31/2024
https://www.goodlessdermatology.com,blacksuit,8/31/2024
https://effortlessoffice.com/,blacksuit,8/31/2024
Donco and Sons Inc.,meow,8/31/2024
Grupo Modesto Cerqueira,meow,8/31/2024
NOBI AS,meow,8/31/2024
Instituto Cardiovascular del Cesar,meow,8/31/2024
Special Oilfield Services Company LLC,meow,8/31/2024
Southwest Traders,blacksuit,8/31/2024
Nevada Heart Vascular Center,blacksuit,8/31/2024
MorningStar Senior Living,blacksuit,8/31/2024
Goodless Dermatology,blacksuit,8/31/2024
Effortless Office,blacksuit,8/31/2024
www.nissan-dubai.com,ransomhub,8/31/2024
"Bogdan & Frasco, LLP",cicada3301,8/31/2024
BLVD Residential INC,cicada3301,8/31/2024
"John W. Brooker & Co., CPAs",cicada3301,8/31/2024
"Khoo and Company, Inc",cicada3301,8/31/2024
http://www.bfcpas.com/,cicada3301,8/31/2024
https://www.blvdresidential.com/,cicada3301,8/31/2024
https://www.brooker-cpa.com,cicada3301,8/31/2024
https://www.khoocpa.com/,cicada3301,8/31/2024
New River Electrical Corporation,ElDorado,8/31/2024
The Recycler Core Company,ElDorado,8/31/2024
Tranter (tcn.local),lynxblog,8/31/2024
Sports & Spine Orthopaedics,rhysida,8/31/2024
Mitsubishi Chemical Group,everest,8/31/2024
grant-associates.uk.com,ransomhub,8/30/2024
Phyton Biotech,monti,8/30/2024
pfsbrands.com,abyss,8/30/2024
Burgess Kilpartik,monti,8/30/2024
Richmond Auto Mall,monti,8/30/2024
Seng Tsoi Architect,monti,8/30/2024
Raeyco Lab Equipment Systems Management,monti,8/30/2024
Welding and Fabrication (humblemfg),monti,8/30/2024
City Projects,monti,8/30/2024
Prism Construction,monti,8/30/2024
Cotala Cross-Media,monti,8/30/2024
www.timortelecom.tl,ransomhub,8/30/2024
www.mineduc.gob.gt,ransomhub,8/30/2024
www.primariatm.ro,ransomhub,8/30/2024
www.suvacity.org,ransomhub,8/30/2024
Riverside Resort Hotel and Casino,lynx,8/30/2024
www.iph-bet.fr,ransomhub,8/30/2024
www.johnkellys.com,ransomhub,8/30/2024
www.fenceauthority.com,ransomhub,8/30/2024
www.gruyeria.ch,ransomhub,8/30/2024
www.lfewines.com,ransomhub,8/30/2024
www.ramoncorripio.com,ransomhub,8/30/2024
www.iiitd.ac.in,ransomhub,8/30/2024
www.swinburne.edu,ransomhub,8/30/2024
ccj.edu.lb,qilin,8/30/2024
www.citebd.org,ransomhub,8/30/2024
"Wayne Wright, LLP.",bianlian,8/30/2024
ICWI,bianlian,8/30/2024
Eric Rossi CPA LLC,bianlian,8/30/2024
Lane Supply Inc.,bianlian,8/30/2024
Stein Fibers,bianlian,8/30/2024
robesoncoso.org,lockbit3,8/30/2024
designintoto.com.au,lockbit3,8/30/2024
jutebag.co.uk,lockbit3,8/30/2024
akanea.com,lockbit3,8/30/2024
fanningfanning.com,lockbit3,8/30/2024
gbricambi.it,lockbit3,8/30/2024
Navitas Semiconductor,hunters,8/30/2024
alconca.com.ve,lockbit3,8/30/2024
tdsb.on.ca,lockbit3,8/30/2024
sampoernaagro.com,lockbit3,8/30/2024
albanybank.com,lockbit3,8/30/2024
bridgestoneamericas.com,lockbit3,8/30/2024
hphood.com,lockbit3,8/30/2024
huntongroup.com,lockbit3,8/30/2024
inces.com,lockbit3,8/30/2024
pkf.com.au,lockbit3,8/30/2024
https://www.clatronic.com/,blacksuit,8/30/2024
http://www.hollywoodburbankairport.com,blacksuit,8/30/2024
lmgroup.com&lt;Disclose&gt;,ransomhub,8/29/2024
Stiller Aesthetics,qilin,8/29/2024
Risser Oil,qilin,8/29/2024
Hollywood Burbank Airport,blacksuit,8/29/2024
glasstile.com,ransomhub,8/29/2024
Corbally Gartland and Rappleyea,rhysida,8/29/2024
Gortemoller Engineering (gorteng.local),lynx,8/29/2024
malonetoyota.com,blacksuit,8/29/2024
exco-solutions.com\$76.4M\Germany\251GB\100% DISCLOSED,cactus,8/29/2024
tibaitservices.com\$124.3M\Mexico\29GB\100% DISCLOSED,cactus,8/29/2024
mihlfeld.com\$88.2M\USA\316GB\100% DISCLOSED,cactus,8/29/2024
https://malonetoyota.com,blacksuit,8/29/2024
Appletec Ltd,handala,8/29/2024
Appletec Ltd Hacked,handala,8/29/2024
christen-sanitaer.ch,cicada3301,8/29/2024
"Bayou DeSiard Country Club - Monroe, LA",cicada3301,8/29/2024
https://christen-sanitaer.ch/,cicada3301,8/29/2024
https://bayoudesiardcc.com,cicada3301,8/29/2024
rainierarms.com,ransomhub,8/29/2024
Epi Breads,play,8/29/2024
Software Engineering Associates,play,8/29/2024
GDB International,play,8/29/2024
ABC Parts International,play,8/29/2024
Universal Pure,play,8/29/2024
Omicron Granite & Tile,play,8/29/2024
Clabots,play,8/29/2024
rmn.fr,BrainCipher,8/29/2024
tjs.com,killsec,8/28/2024
ghanare.com,BrainCipher,8/28/2024
