Organization,Threat Actor,Date
awimc.com\$102.7M\USA\440GB\&lt;1% DISCLOSED,cactus,12/23/2024
tsebrakes.com,lockbit3,12/23/2024
marmon-herrington.com,lockbit3,12/23/2024
n4telecom.com.br,bashe,12/23/2024
federalbank.co.in,bashe,12/23/2024
intellinet-es.com,ransomhub,12/23/2024
SmartLynx Airlines SIA,hunters,12/23/2024
galatachemicals.com\$100M\USA\1.7TB\&lt;1% DISCLOSED,cactus,12/23/2024
9fsfalcons.org,lockbit3,12/23/2024
RODS Surveying (rods.cc),FOG,12/23/2024
www.semfin.com,ransomhub,12/23/2024
www.mccoyglobal.com,ransomhub,12/23/2024
Cathedral Prep (villalan.edu),incransom,12/23/2024
Forum Architecture &amp; Interior Design (forumarchitecture.com),FOG,12/23/2024
Gallade Chemical (galladechem.com),FOG,12/23/2024
Industria e Comercio Jolitex Ltda (jolitex.com),FOG,12/23/2024
ptcky.com\$5M\USA\902GB\&lt;1% DISCLOSED,cactus,12/23/2024
adveo.com\$740.7M\France\1.1TB\&lt;1% DISCLOSED,cactus,12/23/2024
STIIIZY Pre-Christmas publication,everest,12/23/2024
www.globelink.com.au,qilin,12/23/2024
klingler-installationen-gmbh,qilin,12/23/2024
Flamco,qilin,12/23/2024
awimc.com,cactus,12/23/2024
egyptair.com 5 with 10K !,funksec,12/23/2024
galatachemicals.com,cactus,12/23/2024
n4telecom.com.br,apt73,12/23/2024
linebank.co.id,apt73,12/23/2024
kfar-yona.muni.il,funksec,12/23/2024
Albion College,medusa,12/23/2024
Rhode Island Department of Humain Services,BrainCipher,12/23/2024
asiapacfish.org,funksec,12/23/2024
10M israeli data for sell,funksec,12/23/2024
Forum Architecture & Interior Design (forumarchitecture.com),fog,12/23/2024
Billet Precision,akira,12/23/2024
ptcky.com,cactus,12/23/2024
Billet Precision (billetprecision.ca),akira,12/23/2024
adveo.com,cactus,12/23/2024
Gr****up,ragroup,12/22/2024
De****ep,ragroup,12/22/2024
Ri****uk,ragroup,12/22/2024
NE****IT,ragroup,12/22/2024
Wa****ls,ragroup,12/22/2024
ST****ng,ragroup,12/22/2024
ibericar - Press Release,monti,12/22/2024
Gr****up,raworld,12/22/2024
De****ep,raworld,12/22/2024
Ri****uk,raworld,12/22/2024
NE****IT,raworld,12/22/2024
Wa****ls,raworld,12/22/2024
ST****ng,raworld,12/22/2024
visualsystemas.com.ar,funksec,12/22/2024
casarom.com.ar,funksec,12/22/2024
ibericar,monti,12/22/2024
gtsportcarrental.com,funksec,12/22/2024
Sicoob,8base,12/22/2024
J AND S Electrical And Lighting Supply LLC,killsecurity,12/21/2024
LAMERS ENTERPRISE INC,killsecurity,12/21/2024
Langford Tool And Drill Co,killsecurity,12/21/2024
McCally Tool and Supply,killsecurity,12/21/2024
Albert Paper Company,killsecurity,12/21/2024
Allied Packing And Rubber Inc,killsecurity,12/21/2024
Avana Electrotek,killsecurity,12/21/2024
Badger Popcorn And Concession Supply Company,killsecurity,12/21/2024
berkotfoods.com,abyss,12/21/2024
www.marietta-city.org,ransomhub,12/21/2024
www.groupe-setcar.com.tn,ransomhub,12/21/2024
K****S CORP,flocker,12/21/2024
Blome International,killsec,12/21/2024
BRIGHT BOLT ENTERPRISES INC,killsec,12/21/2024
Casa Juarez Restaurant Supply Co,killsec,12/21/2024
Davis Products Company Inc,killsec,12/21/2024
Economy Restaurant Equipment And Supply Company,killsec,12/21/2024
GAMKA SALES CO. INC,killsec,12/21/2024
Greater Michigan Distributors,killsec,12/21/2024
GPM Lawn Sprinkler Supply,killsec,12/21/2024
Greene Supply Company,killsec,12/21/2024
Hammons Supply Company,killsec,12/21/2024
J AND S Electrical And Lighting Supply LLC,killsec,12/21/2024
LAMERS ENTERPRISE INC,killsec,12/21/2024
Langford Tool And Drill Co,killsec,12/21/2024
McCally Tool and Supply,killsec,12/21/2024
Abrasive Supply Corporation,killsec,12/21/2024
Albert Paper Company,killsec,12/21/2024
Allied Packing And Rubber Inc,killsec,12/21/2024
Avana Electrotek,killsec,12/21/2024
Badger Popcorn And Concession Supply Company,killsec,12/21/2024
news.gdi.gov.kh,funksec,12/21/2024
fusioncharts.com,funksec,12/21/2024
Grupo Bébécar,8base,12/21/2024
CLARKE CENTRE D'IMAGERIE MEDICALE INC.,8base,12/21/2024
GNK Golf,8base,12/21/2024
carsbeat.com,funksec,12/21/2024
Accolent ERP Software,killsecurity,12/20/2024
gilariver.org,ransomhub,12/20/2024
Izmocars,everest,12/20/2024
Genie Healthcare,everest,12/20/2024
Schenkelberg - Die Medienstrategen (schenkelberg-druck.de),FOG,12/20/2024
Village Community School (vcsnyc.org),FOG,12/20/2024
Circle Electric (circleelectric.com),FOG,12/20/2024
tabocas.com.br,ransomhub,12/20/2024
Howell Township Public Schools (howell.k12.nj.us),FOG,12/20/2024
EP Holdings (epholdingsinc.com),FOG,12/20/2024
Water Utilities Corporation,killsecurity,12/20/2024
PT Pertamina,killsecurity,12/20/2024
Khalil Center,killsecurity,12/20/2024
JRT Automatisation,spacebears,12/20/2024
www.tekni-plex.com,ransomhub,12/20/2024
Accolent ERP Software,killsec,12/20/2024
Frameworks,cicada3301,12/20/2024
ndc.energy.mn,funksec,12/20/2024
Broker Educational Sales & Training,medusa,12/20/2024
PT Pertamina,killsec,12/20/2024
Khalil Center,killsec,12/20/2024
Water Utilities Corporation,killsec,12/20/2024
Kai*************.de,cloak,12/20/2024
Ne***********.de,cloak,12/20/2024
Fmp.gob.pe,cloak,12/20/2024
planetgroup.co.il,ransomhub,12/20/2024
Compliance Solutions Inc,qilin,12/20/2024
Krispy Kreme,play,12/20/2024
austinsfs.com.au,kairos,12/20/2024
City of Noblesville,interlock,12/20/2024
HostingExpress.com.mx,funksec,12/20/2024
sklepbaterie.pl,funksec,12/20/2024
Jet Edge (jetedgewaterjets.com),fog,12/20/2024
Energy Capital Credit Union (eccu.net),fog,12/20/2024
federalbank.co.in,apt73,12/20/2024
ProCaps Laboratories,akira,12/20/2024
Jared Beschel and Associates,akira,12/20/2024
Hide-A-Way Lake Club,akira,12/20/2024
Leyman Manufacturing,akira,12/20/2024
Krispy Kreme,play,12/19/2024
Austin&#39;s Financial Solutions,kairos,12/19/2024
Energy Capital Credit Union (eccu.net),FOG,12/19/2024
bri.co.id,bashe,12/19/2024
Jet Edge (jetedgewaterjets.com),FOG,12/19/2024
planetgroup.co.il,ransomhub,12/19/2024
bataviacontainer.com,abyss,12/19/2024
Banner Day Camp,lynx,12/19/2024
lockbit4.com,lockbit3,12/19/2024
agti.eng.br,funksec,12/19/2024
web.vaips.cl,funksec,12/19/2024
EMPRESARIA.COM,clop,12/19/2024
IMSPLGROUP.COM,clop,12/19/2024
CK Technology Group,cicada3301,12/19/2024
Concession Peugeot,cicada3301,12/19/2024
Trev Deeley Motorcycles,hunters,12/18/2024
Microvision,hunters,12/18/2024
Development Bank of Jamaica,hunters,12/18/2024
Astaphans,hunters,12/18/2024
Archetype Group,hunters,12/18/2024
Smith Tank & Steel (smith-tank.com),lynx,12/18/2024
Reliance Connects (relianceconnects.com),FOG,12/18/2024
Verosa LLC,killsecurity,12/18/2024
National Atomic Energy Commission,moneymessage,12/18/2024
Cottrell P.C.,bianlian,12/18/2024
"Gagne, LLC.",bianlian,12/18/2024
www.prixet.com,bashe,12/18/2024
Vroninks Ricker Weyts &amp; Sacre- Notaires (notassoc.be),FOG,12/18/2024
massdevelopment.com\$24.6M\USA\1.2TB\&lt;1% DISCLOSED,cactus,12/18/2024
Furmano’s,blackbasta,12/18/2024
Fruit of the Earth,blackbasta,12/18/2024
Bender GmbH &amp; Co. KG,blackbasta,12/18/2024
Valveworks USA,blackbasta,12/18/2024
Wikov,blackbasta,12/18/2024
Active Dynamics,blackbasta,12/18/2024
Bath Fitter,blackbasta,12/18/2024
Grimaldi Alliance,blackbasta,12/18/2024
Medion AG,blackbasta,12/18/2024
Avstar Fuel Systems,rhysida,12/18/2024
The Good Samaritan Health Center of Cobb,qilin,12/18/2024
Verosa LLC,killsec,12/18/2024
chixking.ca,funksec,12/18/2024
flybase.org,funksec,12/18/2024
Nathan American Academy,funksec,12/18/2024
robertfinaleeditions,funksec,12/18/2024
seaislerealty.com,funksec,12/18/2024
abd-ong.org,funksec,12/18/2024
Vroninks Ricker Weyts & Sacre- Notaires (notassoc.be),fog,12/18/2024
Archie Cochrane Ford,akira,12/18/2024
Cottrell Fletcher & Cottrell P.C.,bianlian,12/18/2024
"Giordano, DelCollo, Werb & Gagne, LLC.",bianlian,12/18/2024
OL Products,akira,12/18/2024
fote.com,blackbasta,12/18/2024
bender.de,blackbasta,12/18/2024
valveworksusa.com,blackbasta,12/18/2024
wikov.com,blackbasta,12/18/2024
Skopos,akira,12/18/2024
activedynamics.com,blackbasta,12/18/2024
bathfitter.com,blackbasta,12/18/2024
grimaldialliance.com,blackbasta,12/18/2024
medion.com,blackbasta,12/18/2024
bri.co.id,apt73,12/18/2024
Freightlinerof Savannah,akira,12/18/2024
Black Oak Casino Resort,akira,12/18/2024
Fullmer Construction,akira,12/18/2024
massdevelopment.com,cactus,12/18/2024
furmanos.com,blackbasta,12/18/2024
Modern Dental Group Limited,BrainCipher,12/18/2024
Tharisa,termite,12/17/2024
Modern Dental Group Limited,braincipher,12/17/2024
choicemg.com,ransomhub,12/17/2024
medisecure.com.au,ransomhub,12/17/2024
redknee.com,ransomhub,12/17/2024
nbleisuretrust.org,ransomhub,12/17/2024
Kilgore Industries ,nitrogen,12/17/2024
kuritaamerica.com,threeam,12/17/2024
A Beautiful Pools Inc ,nitrogen,12/17/2024
Fireproof Contractors Inc ,nitrogen,12/17/2024
SpeedLine Solutions (speedlinesolutions.com),FOG,12/17/2024
Ouro Verde (ouroverde.net.br),FOG,12/17/2024
Ecritel,hunters,12/17/2024
Total Patient Care LLC;A Sensitive Touch Home Health;Alphastar Home Health Care;Heart of T,everest,12/17/2024
Bio-Clima Service Srl Data Leak,everest,12/17/2024
Asaro Dental Aesthetics Data Leak,everest,12/17/2024
Artistic Family Dental;Value Dental Center;Sparkling Smiles Family Dentistry Data Leak,everest,12/17/2024
Groupe-fimar,bluebox,12/17/2024
ibram.org.br,funksec,12/17/2024
dinamalar.com,funksec,12/17/2024
Billaud,qilin,12/17/2024
chaves,qilin,12/17/2024
Kilgore Industries,nitrogen,12/17/2024
A Geradora,akira,12/17/2024
A Beautiful Pools Inc,nitrogen,12/17/2024
Fireproof Contractors Inc,nitrogen,12/17/2024
Toscano Law,akira,12/17/2024
Polskie Wydawnictwo Muzyczne,akira,12/17/2024
Heritage Bank,interlock,12/17/2024
rtdc.gov.mn,funksec,12/17/2024
pbos.gov.pk,funksec,12/17/2024
FINN,dragonforce,12/17/2024
Williams Tank Lines,dragonforce,12/17/2024
Engineered Tower Solutions,dragonforce,12/17/2024
Marine Floats,dragonforce,12/17/2024
Brockton Neighborhood Health Center,interlock,12/17/2024
Artistic Family Dental;Value Dental Center;Sparkling Smiles Family Dentistry,everest,12/17/2024
phantomsecurity.ca,dragonransomware,12/17/2024
South Plains Implement,play,12/16/2024
Joshua Grading & Excavating,play,12/16/2024
Chemitex SA Information,play,12/16/2024
Eisenhower Carlson,kairos,12/16/2024
www.specialtree.com,ransomhub,12/16/2024
Welker,play,12/16/2024
Lanigan Ryan,play,12/16/2024
Hatfield Consultants,play,12/16/2024
bushandburchett.com,ransomhub,12/16/2024
SWDAKOTAH.COM,ransomhub,12/16/2024
www.minerasancristobal.com,bashe,12/16/2024
Waverley Christian College (wcc.vic.edu.au),FOG,12/16/2024
Cognity (cognity.gr),FOG,12/16/2024
acumengroup.us,eldorado,12/16/2024
lasen.com,eldorado,12/16/2024
"Simmtech Co., Ltd.",underground,12/16/2024
scania.pl,ransomhub,12/16/2024
GNS Cloud Hacked,handala,12/16/2024
www.aflak.com.sa,ransomhub,12/16/2024
favbet,qilin,12/16/2024
Super Vac,qilin,12/16/2024
eisenhowerlaw.com,kairos,12/16/2024
CM Buck & Associates,lynx,12/16/2024
amlakparto.ir,dragonransomware,12/16/2024
www.prixet.com,apt73,12/16/2024
Time Machine Inc,akira,12/16/2024
baseisapis.it,argonauts,12/16/2024
National Air Vibrator,akira,12/16/2024
Great Plains Bank,akira,12/16/2024
Rob Levine & Associates,akira,12/16/2024
Diferencial Energia,akira,12/16/2024
Acumen Group,ElDorado,12/16/2024
LaSen,ElDorado,12/16/2024
GNS Cloud,handala,12/16/2024
"JSSR Options Co., Ltd. (JSSR)",killsecurity,12/15/2024
Tumeny Payments Limited,killsecurity,12/15/2024
Biodimed,stormous,12/15/2024
"JSSR Options Co., Ltd. (JSSR)",killsec,12/15/2024
Tumeny Payments Limited,killsec,12/15/2024
akobdc.com,funksec,12/15/2024
indianaerospaceand,funksec,12/15/2024
arkajainuniver,funksec,12/15/2024
gstpam.org,funksec,12/15/2024
rangiamb.org.in,funksec,12/15/2024
pathsalatc.org.in,funksec,12/15/2024
ekitistate.gov.ng,funksec,12/15/2024
Westfield Fire Department,medusa,12/15/2024
North Los Angeles County Regional Center,medusa,12/15/2024
Clarkson Insurance Group,medusa,12/15/2024
www.brachapundak.co.il,dragonransomware,12/15/2024
salesmandiary.com,dragonransomware,12/15/2024
synoveboure.wz.cz,dragonransomware,12/15/2024
snedai.com,dragonransomware,12/15/2024
www.bsisp.ly,dragonransomware,12/15/2024
www.manahotels.in,dragonransomware,12/15/2024
shambhaviayurveda.in,dragonransomware,12/15/2024
www.zawwali.com,dragonransomware,12/15/2024
sadr.ws,dragonransomware,12/15/2024
www.machighway.com,dragonransomware,12/15/2024
mtucker.com,dragonransomware,12/15/2024
wahaj-almassa.com,dragonransomware,12/15/2024
londonsmt.org,dragonransomware,12/15/2024
w3webschools.com,dragonransomware,12/15/2024
inda.edu.uy,dragonransomware,12/15/2024
shintex.by,dragonransomware,12/15/2024
www.whiteleafent.net,dragonransomware,12/15/2024
starlinkvietnam.vn,dragonransomware,12/15/2024
www.beikelogistics.com,dragonransomware,12/15/2024
logikaservicios.cl,dragonransomware,12/15/2024
stleasing.tj,dragonransomware,12/15/2024
hinodes.in,dragonransomware,12/15/2024
oakenglish.com,dragonransomware,12/15/2024
cafunesol.in,dragonransomware,12/15/2024
www.srishtisoft.com,dragonransomware,12/15/2024
eosspartners.com,dragonransomware,12/15/2024
ssfirm.com.sa,dragonransomware,12/15/2024
k-boss.net,dragonransomware,12/15/2024
tekryse.com,dragonransomware,12/15/2024
parkaire.net,dragonransomware,12/15/2024
www.infoer.com.ar,dragonransomware,12/15/2024
eye-ed.com,dragonransomware,12/15/2024
tg777.pub,dragonransomware,12/15/2024
timesexpress.net,dragonransomware,12/15/2024
kpr-rm.com,dragonransomware,12/15/2024
shoor.cc,dragonransomware,12/15/2024
pid.co.zw,dragonransomware,12/15/2024
www.midlandturbo.com,eldorado,12/14/2024
fbchighsprings.org,eldorado,12/14/2024
www.kandelaar.com,eldorado,12/14/2024
www.lightspeeddesign.com,eldorado,12/14/2024
Levinlaw.com,ransomhub,12/14/2024
American Computer Estimating Inc,bianlian,12/14/2024
MedRevenu Inc,bianlian,12/14/2024
Mid Florida Primary Care,bianlian,12/14/2024
TWRU CPAs and Financial Advisors,bianlian,12/14/2024
Midland Turbo,ElDorado,12/14/2024
First Baptist Church,ElDorado,12/14/2024
Kandelaar Electrotechniek,ElDorado,12/14/2024
Light Speed Design,ElDorado,12/14/2024
zetech.ac.ke,funksec,12/14/2024
maxprofit.mcode.me,funksec,12/14/2024
skopje.gov.mk,funksec,12/14/2024
muswellbrook.nsw.gov.au,safepay,12/14/2024
Anetic Aid,kairos,12/13/2024
Tri County Property Management,kairos,12/13/2024
Archdiocese of Louisville,kairos,12/13/2024
tekni-plex.com,ransomhub,12/13/2024
www.hashem-contracting.com,ransomhub,12/13/2024
http://www.abag-sroc.pt,ciphbit,12/13/2024
Kazyon,moneymessage,12/13/2024
"Estar Seguros, S.A.",braincipher,12/13/2024
Cristal y Lavisa S.A. de C.V.,braincipher,12/13/2024
Talascend,lynx,12/13/2024
Goins Law,lynx,12/13/2024
Sigarth,play,12/13/2024
SBW,play,12/13/2024
Maxus Group,play,12/13/2024
Long Beach Convention Center,play,12/13/2024
Myhealthcarebilling,everest,12/13/2024
aneticaid.com,kairos,12/13/2024
tcpm.com,kairos,12/13/2024
archlou.org,kairos,12/13/2024
António Belém & António Gonçalves,ciphbit,12/13/2024
lamundialdeseguros,funksec,12/13/2024
bee-insurance.com,funksec,12/13/2024
lamundialdeseguros.com,funksec,12/13/2024
An independent private assets manager,akira,12/13/2024
Luxor Capital Group,akira,12/13/2024
fuse.io,funksec,12/13/2024
lakhipurmb.org.in,funksec,12/13/2024
Sunline,play,12/13/2024
Sunline,play,12/12/2024
Artemis Holding,play,12/12/2024
Arnott,play,12/12/2024
bankily.mr | SOLD,bashe,12/12/2024
Gills Onions,lynx,12/12/2024
Wintergreen Learning Materials,hunters,12/12/2024
AFD,hunters,12/12/2024
Southern Acids,hunters,12/12/2024
GBC,lynx,12/12/2024
Aptus,spacebears,12/12/2024
recope.go.cr,ransomhub,12/12/2024
Goins Law,lynx,12/12/2024
"Estar Seguros, S.A.",BrainCipher,12/12/2024
Cristal y Lavisa S.A. de C.V.,BrainCipher,12/12/2024
Brasilmad,sarcoma,12/12/2024
Watsonville Community Hospital,termite,12/11/2024
"Locke Solutions , LLC ",nitrogen,12/11/2024
"CW Lighting, LLC ",nitrogen,12/11/2024
Interforos Casting,killsecurity,12/11/2024
Sarah Car Care,everest,12/11/2024
http://midwest.com,blacksuit,12/11/2024
Compass Communications,ragroup,12/11/2024
leadboxhq.com,bashe,12/11/2024
"Tejas Office Products, Inc. ",nitrogen,12/11/2024
Planters Telephone Cooperative (planters.net),FOG,12/11/2024
NSK Group ROTA,lynx,12/11/2024
Rutherford County Schools,rhysida,12/11/2024
At Interspiro,blackbasta,12/11/2024
Hydra-Matic Packing,lynx,12/11/2024
cityofmarlow.com,safepay,12/11/2024
nbkenney.com,safepay,12/11/2024
"Locke Solutions , LLC",nitrogen,12/11/2024
"CW Lighting, LLC",nitrogen,12/11/2024
Compass Communications,raworld,12/11/2024
Interforos Casting,killsec,12/11/2024
Primary Plus,qilin,12/11/2024
AC Technical Systems,qilin,12/11/2024
Bianco Brain & Spine,qilin,12/11/2024
"Tejas Office Products, Inc.",nitrogen,12/11/2024
quiztarget.com,funksec,12/11/2024
midwest.com,blacksuit,12/11/2024
www.minerasancristobal.com,apt73,12/11/2024
Westerstrand Urfabrik AB,bluebox,12/11/2024
PH ARCHITECTURE,bluebox,12/11/2024
Matagrano,akira,12/11/2024
Renée Blanche,akira,12/11/2024
Nova Pole International Inc.,akira,12/11/2024
interspiro.com,blackbasta,12/11/2024
mandiricoal.net,funksec,12/11/2024
dealplexus.com,funksec,12/11/2024
Inmobiliaria Armas,medusa,12/11/2024
Bergerhof,medusa,12/11/2024
Ainsworth Game Technology Limited,medusa,12/11/2024
"Mission Constructors , Inc. ",nitrogen,12/10/2024
tectaamerica.com,ransomhub,12/10/2024
Haji Husein Alireza,incransom,12/10/2024
Telecom Namibia,hunters,12/10/2024
melhorcompraclube.com.br,bashe,12/10/2024
greenscape.us.com,ransomhub,12/10/2024
Throat,bianlian,12/10/2024
Global Insurance Agency LLC,bianlian,12/10/2024
womenscare.com,ransomhub,12/10/2024
Physicians' Primary Care of Southwest Florida,bianlian,12/10/2024
Equity & Advisory,lynx,12/10/2024
singularanalysts.com,funksec,12/10/2024
gervetusa.com,funksec,12/10/2024
fpsc-anz.com,funksec,12/10/2024
Ukh-hof.de,cloak,12/10/2024
Orthopaedie-hof.de,cloak,12/10/2024
N************.uk,cloak,12/10/2024
www.appicgarage.com,funksec,12/10/2024
wacer.com.au,funksec,12/10/2024
thebetareview.com,funksec,12/10/2024
senseis.xmp.net,funksec,12/10/2024
fpsc-anz.com Breach,funksec,12/10/2024
"Mission Constructors , Inc.",nitrogen,12/10/2024
kurosu.com.py,funksec,12/10/2024
workers.com.zm,funksec,12/10/2024
leadboxhq.com,apt73,12/10/2024
Matandy (matandy.com),akira,12/10/2024
workers.com.zm Breach,funksec,12/10/2024
Corporación BJR,akira,12/10/2024
Conrey Insurance Brokers & Risk Managers,akira,12/10/2024
Aruba Productions,akira,12/10/2024
Lakeside Sod Supply,akira,12/10/2024
Proyectos y Seguros,akira,12/10/2024
nedamaritime.gr,blackout,12/10/2024
kurosu.com.py Breach,funksec,12/10/2024
nedamaritime.gr,blackout,12/9/2024
