Organization,Threat Actor,Date
CCMC,medusa,9/30/2025
cegconstruction.com,qilin,9/22/2025
Celtic Engineering,play,9/9/2025
Ceres,thegentlemen,9/9/2025
Cervantes,thegentlemen,9/9/2025
CESCONSULT,incransom,9/3/2025
Ceva Logistics,coinbasecartel,9/15/2025
Cevital,akira,8/13/2025
CF Construction Ltd,incransom,7/15/2025
CFI Tire Service,play,8/9/2025
CHABAA BANGKOK,blacknevas,7/22/2025
chainstoreguide.com,qilin,7/21/2025
chamberlainhuckeriede.com,safepay,7/14/2025
Charak Center for Health,qilin,8/13/2025
Chemtron RiverBend,weyhro,8/11/2025
Cheyney University,pear,9/14/2025
childrenscouncil.org,safepay,8/19/2025
China Harbour Engineering Company,devman,7/5/2025
chroma.com.tw,warlock,9/16/2025
CI Engineering,cicada3301,9/4/2025
cibraco,lynx,8/5/2025
ci-Fabrics,lynx,7/22/2025
CILI,blacknevas,7/2/2025
CIMEXSTEEL.CZ,qilin,8/7/2025
City of Green River,qilin,7/15/2025
"City of Keene, NH",dragonforce,7/7/2025
"City of Peabody, MA",interlock,7/18/2025
City of St Paul,interlock,8/11/2025
City Wide,worldleaks,9/18/2025
city-of-batavia,lynx,9/4/2025
cityofgardendale.com,incransom,7/4/2025
cityofmiddletown.org,safepay,9/12/2025
clearybuilding.us,warlock,8/17/2025
Clemens Construction,dragonforce,8/2/2025
Cleveland City School District,incransom,9/14/2025
climaxportable.com,incransom,8/27/2025
Clinical Diagnosis,nova,8/17/2025
CMS Legal Services EEIG,crypto24,8/16/2025
CoÇôs County Family Health,RunSomeWares,8/13/2025
Coastal Pacific Xpress,rhysida,9/10/2025
CoCo Yachts,cephalus,8/28/2025
Colabor,akira,8/24/2025
College stjb,arcusmedia,7/27/2025
Colmar Industrial Supplies,beast,8/21/2025
Colorado Health Network Inc,cephalus,8/28/2025
colt.net,warlock,8/17/2025
Combined Services HVAC,play,9/22/2025
Comcast,medusa,9/30/2025
Commercial Casework,akira,9/10/2025
Commission scolaire des Appalaches,incransom,9/3/2025
Communicare Inc.,daixin,9/11/2025
Community Services of Missouri,weyhro,8/11/2025
communitycareresources.com,incransom,7/10/2025
Compagnie des Guides de Chamonix,radar,9/11/2025
companionsandhomemakers.com,safepay,8/29/2025
Comprehensive Pain Centers,sinobi,8/14/2025
Computer Ingenuity Associates,nova,7/9/2025
ComTec Systems,play,9/27/2025
ComTec Systems,pear,9/26/2025
conasa infraestrutura s.a.,nightspire,7/6/2025
Conception Reproductive Associates Colorado,incransom,9/14/2025
Concord New Energy Group,dragonforce,9/16/2025
Confartigianato Imprese,lynx,7/9/2025
conlonproducts.net,qilin,7/1/2025
Construcciones Sala,desolator,8/30/2025
ConstruseÇñales S.A.,desolator,9/1/2025
Consumer Electronics & Computers Retail Retail,incransom,8/6/2025
CONTRAQI,global,7/26/2025
Controlled Combustion,securotrop,9/7/2025
Cook Brown,akira,9/18/2025
Cookeville Regional Medical Center,rhysida,8/2/2025
Cool Wind Ventilation,play,9/9/2025
Cordeiro Guerra & Associati,everest,9/2/2025
Corinthian Media,akira,7/4/2025
corpdvs.com,qilin,7/1/2025
coruzcitywndata+,incransom,7/1/2025
Cpat Flex,blackbyte,7/30/2025
cphcorp.com,incransom,9/4/2025
CPK Interior Products Inc,incransom,8/28/2025
Crane Production Systems,sinobi,9/28/2025
Creditinfo,payoutsking,7/15/2025
Cremona Inoxidable,thegentlemen,9/9/2025
Crestone Group,play,9/15/2025
"Crompton Lamps, UK",incransom,7/17/2025
Crumbl,everest,7/23/2025
Crumbl - Full leak published,everest,7/23/2025
csaas.com,incransom,7/21/2025
csrepair.com,qilin,8/7/2025
"Cullen, Haskins, Nicholson & Menchetti",pear,9/14/2025
"Culver's Lawn & Landscape, Inc.",qilin,7/14/2025
Custom Food Ingredients,qilin,7/29/2025
CyberData,akira,9/15/2025
CyberlinkASP,play,7/3/2025
Cyme Servicios MÇ¸dicos,global,7/26/2025
Ñ­omet-strip-enterprises-ltd,incransom,7/17/2025
Ñ­onasa,cicada3301,7/14/2025
DA Whitacre Construction,play,7/23/2025
DA Whitacre Construction,dragonforce,7/23/2025
dafo.se,chaos,8/27/2025
Dance Brothers,sinobi,8/27/2025
danielslawgroupllc.com,qilin,7/21/2025
Dansoft,nova,7/13/2025
"DAOR E&C Co., Ltd",qilin,8/20/2025
DARA Pharma,blackbyte,7/20/2025
Darien Telephone,qilin,7/11/2025
dasmeshschool.com,safepay,8/29/2025
DAT AUTOHUS AG,everest,8/15/2025
DBK Partners,incransom,9/14/2025
Dblock Asset Management Co,qilin,9/18/2025
decor-metall.de,safepay,8/28/2025
deerfield.com / singulargenomics.com,incransom,9/11/2025
Del Campo Supreme,thegentlemen,9/9/2025
Del Corona &Scardigli Canada,akira,7/3/2025
DelCampo,qilin,7/23/2025
deliastamales.com,incransom,7/31/2025
Delta Information Systems,cephalus,8/29/2025
denali-industrial.com,qilin,9/12/2025
denraytire.com,lynx,9/4/2025
Desjardins Banking/Group,coinbasecartel,9/15/2025
Devon,incransom,7/31/2025
DHM Properties,play,9/22/2025
diasdeprimavera.com.br,cicada3301,7/18/2025
Digitall Evolution,d4rk4rmy,7/28/2025
DIMERCO,d4rk4rmy,8/3/2025
Din Bolig,beast,8/20/2025
Dithelm Travel Group,global,7/26/2025
Diversified Project Services International,dragonforce,8/6/2025
diversifiedcpc.com,qilin,8/25/2025
DKN Hotels,akira,7/4/2025
DLCOSMETICS O.E.,ransomhouse,8/25/2025
Doak Shirreff Lawyers,direwolf,7/8/2025
Docklyne,killsec,9/10/2025
Doctocliq,killsec,8/19/2025
Dodd-group-ltd,lynx,9/30/2025
Dolidol,thegentlemen,9/9/2025
Dollar Tree,incransom,7/30/2025
Donlar Construction,akira,7/24/2025
Dorrell Fabrics,sinobi,9/28/2025
Dottori Commercialisti Associati,dragonforce,8/23/2025
DP Systems,worldleaks,7/20/2025
Dr. Falk Pharma,worldleaks,7/30/2025
Dragonfly CO. LTD dragonflygame.com,blacknevas,7/7/2025
drcloudemr.com,safepay,9/17/2025
"Dreyfuss Williams & Associates Co , LPA",coinbasecartel,9/15/2025
Drive & Shine,lynx,7/24/2025
Druni,akira,7/29/2025
dtxstudio.com,incransom,7/21/2025
Dualinfor hito inovation,dragonforce,8/21/2025
"Dubroff, Easley & Lovell, LLP",pear,9/18/2025
"DUC App: Global Money Movement, Simplified",killsec,8/20/2025
Dunlap Codding,akira,7/25/2025
dwllp.ca/ Leaked by www.etornetworks.com,incransom,7/14/2025
Dynacast,direwolf,8/25/2025
Dyson Corp.,sinobi,7/29/2025
E&S Food,akira,9/9/2025
Eagan Insurance,sinobi,8/13/2025
Eagle Excavation,qilin,9/14/2025
Earthadelic,play,9/27/2025
EAST Design Architect Sdn. Bhd,obscura,9/19/2025
easternadjustment.com,qilin,8/4/2025
Easy Credit,everest,9/8/2025
Eau Palm Beach Resort & Spa,play,9/15/2025
EB Farmacutica,arcusmedia,8/12/2025
Echo,akira,8/27/2025
ECM Consultants,sinobi,8/14/2025
Edro Real Estate,spacebears,9/23/2025
Edward J McKarski,play,8/26/2025
Edwards Interiors,play,9/9/2025
eehc.gov.eg,devman,7/15/2025
"eFunda, Inc.",bqtlock,7/31/2025
EIA Global,play,7/3/2025
Ekmanian Tax & Accounting,qilin,9/4/2025
ekonomipoolen.se/Sweden/32/GB,kairos,9/16/2025
Ekotrade,qilin,9/10/2025
Electro-Tech,akira,8/19/2025
elektro-buder.at,lynx,9/4/2025
elematec.com,devman,7/5/2025
Elite Trailers,rhysida,9/5/2025
Elkhart Independent School District,rhysida,8/20/2025
ellison-mills.com,chaos,9/1/2025
elssurveying.com,warlock,9/16/2025
ELZAB,d4rk4rmy,7/7/2025
eMedicoERP,killsec,9/6/2025
Emerson Chiropractic,dragonforce,7/25/2025
EMMCORP.COM,everest,8/6/2025
Emphail.com,global,7/9/2025
Emprise,play,8/6/2025
empur,qilin,8/11/2025
Encore Leisure Group,lynx,9/11/2025
Energenecs,play,9/15/2025
Energy Developments,sinobi,8/13/2025
Energy Fishing,play,9/8/2025
Engineered Advantage,dragonforce,9/8/2025
Engineered Components,dragonforce,8/30/2025
Ensemble Montplaisir,nova,7/12/2025
envac.es,qilin,8/1/2025
EOS Asset management,qilin,9/18/2025
EPLS: Entreprise d'Installations Ç¸lectriques Courant Fort,qilin,9/8/2025
Epperson Law Group,interlock,8/12/2025
Erdy McHenry Architecture,akira,8/14/2025
erichschleichgmbh.de,incransom,7/31/2025
erniesinceresco.com,incransom,7/18/2025
Escauto Centro Automotivo,beast,8/18/2025
ESD,akira,8/11/2025
eShipGlobal,play,8/14/2025
ESIC_TR,qilin,8/30/2025
Espectral,obscura,9/19/2025
ethicalpackaging.co.uk,qilin,8/16/2025
EUM Asset Management,qilin,9/19/2025
EUROFILM ×?×?××Ï×?×?×­×?×œ ×?.×?,incransom,8/20/2025
Eurofins,nova,7/6/2025
Eurofins Healthcare,nova,7/18/2025
Eurofins Scientific,nova,7/18/2025
European Business Server Cluster,bqtlock,8/9/2025
Everest file server,everest,8/29/2025
Eversendai,nightspire,7/1/2025
Exel Composites,worldleaks,8/25/2025
Exotherm,akira,8/22/2025
Expert E-commerce GmbH,medusa,8/20/2025
Expert MRI,pear,9/14/2025
eyeqmonitoring.com,qilin,8/7/2025
F&P Georgia Mfg Inc,nitrogen,8/6/2025
F1-Generation,sarcoma,9/16/2025
FAI Aviation Group (fai.ag) - The biggest leak ever,J,9/23/2025
faltner.de,safepay,8/26/2025
Farben-Zentrum Schlegel,dragonforce,7/15/2025
Faria Braga Advogados Associados,direwolf,7/8/2025
FasseValves,securotrop,7/22/2025
Fattore CosmÇ¸ticos Ltda,spacebears,9/25/2025
Fayrefield Foods,akira,7/17/2025
fcsserves.org,qilin,7/2/2025
FDB Collections,killsec,9/22/2025
ferienwohnungen.de,safepay,8/26/2025
ferrocortes,qilin,8/6/2025
ferus-smit.home,warlock,9/16/2025
ffs.com,qilin,8/13/2025
fiermann-eller.de,dragonforce,8/21/2025
Firelands Scientific,rhysida,8/28/2025
First Baptist Church of Hammond,rhysida,7/29/2025
firstlight.net,lynx,9/4/2025
firstpresatl.org,incransom,7/31/2025
"Fishman, Larsen & Callister - Full leak published",everest,7/11/2025
fkk.ac.th,satanlockv2,7/4/2025
flamgard.co.uk,qilin,9/4/2025
Flexofast Indonesia,thegentlemen,9/9/2025
Florarte,medusa,8/20/2025
Florida Hand Center,rhysida,7/8/2025
Fluxergy,akira,9/11/2025
Focus R Technologies Pvt,coinbasecartel,9/15/2025
foiegrasespinet,qilin,7/24/2025
Foremost Asset Management,qilin,9/30/2025
formacompany,qilin,8/10/2025
fortsmithschools.org,qilin,8/1/2025
Fractalite,killsec,9/22/2025
Framon S.p.A.,dragonforce,7/31/2025
FranceLink,akira,8/13/2025
Franklin Pierce Schools,medusa,7/30/2025
Frontline Bioenergy,lynx,8/4/2025
fsl.org,incransom,7/30/2025
FTCS Forage,dragonforce,9/26/2025
fuld.com,qilin,7/11/2025
Fullcolour.com Limited,dragonforce,8/22/2025
Fullerton Surgical Center (FSC),qilin,8/21/2025
Fusion Homes,akira,9/9/2025
Future Generali,medusa,9/30/2025
FysioRoadmap,nova,9/28/2025
G*****,payoutsking,7/9/2025
G*********************y.org,flocker,7/15/2025
G*****n.com,flocker,7/31/2025
G****d,payoutsking,7/9/2025
Gagosian,daixin,9/11/2025
Galaxy Freightline,play,8/26/2025
garnertrucking.com,qilin,8/20/2025
Garrison Architects,play,9/15/2025
Garrison Law Firm,pear,7/15/2025
gatlogistica.com.br,cicada3301,7/18/2025
gazomet.pl & cgas.pl,alphalocker,9/8/2025
"GCC of America, inc.",anubis,9/2/2025
GDZ Computer Services,play,9/9/2025
GEA Consulting Engineers,dragonforce,8/23/2025
General Control Systems,play,9/15/2025
General Converting,akira,9/8/2025
General Directorate of Taxes and Estates,blackshrantac,9/29/2025
Generali Group,crypto24,9/18/2025
Genesis Billing Services,akira,7/11/2025
Genmark Automation,akira,9/1/2025
Geomaticks Grecia,global,7/26/2025
George Haney & Son,dragonforce,8/23/2025
Geotec,akira,8/11/2025
getdomain,warlock,8/17/2025
getech.com,qilin,8/10/2025
gibbswire.com,qilin,8/26/2025
gid-it.de,lynx,7/15/2025
GL Veneer,play,9/9/2025
gmcontractinginc.com,qilin,8/28/2025
gmpc.com,warlock,9/1/2025
gmtaconline,warlock,8/17/2025
Go********l,cloak,8/9/2025
godbyhearth.com,safepay,8/19/2025
Goldberg & Osborne,akira,7/16/2025
goodcents.com,qilin,9/20/2025
Gordon Rees Scully Mansukhani LLP,SilentRansomGroup,9/7/2025
gosheating.co.uk,safepay,9/17/2025
gotec.com,devman,7/5/2025
GoTelemedicina,killsec,9/6/2025
GPS Trackit,killsec,9/7/2025
GrammaTech,play,9/22/2025
Grand Rapids Controls,anubis,8/15/2025
Graphite Construction Group,qilin,8/23/2025
Grayscale Investments,everest,7/26/2025
Great Lakes Carpet &Tile,akira,7/31/2025
Greater Pittsburgh Orthopaedic Associates,ransomhouse,8/20/2025
Greeniverse,dragonforce,7/15/2025
GreenLight Biosciences,blackbyte,7/16/2025
Greenscape Pump Services,play,8/14/2025
GreenVest,akira,7/17/2025
Greenville Legal,dragonforce,9/30/2025
Greta Group,lynx,7/15/2025
Groupe Clarins,everest,9/14/2025
Grup Gestio,arcusmedia,9/17/2025
Grupo DIRIA,dragonforce,8/27/2025
Grupo Halcon,thegentlemen,9/9/2025
grupobocel.com,qilin,9/25/2025
grupogid.com,incransom,9/17/2025
grupozeta.com & www.grupozetajalisco.com,mydata,9/16/2025
Guerrero Mears LLP,cephalus,8/26/2025
Gurney's Resorts,akira,9/18/2025
Guyana Sugar,akira,7/31/2025
GWU-Umwelttechnik GmbH,akira,8/11/2025
H**u.i*v.tw,flocker,7/31/2025
HÇôlscher Holding,akira,8/1/2025
haaker.com,qilin,8/20/2025
Haeger & Schmidt Logistics,qilin,8/12/2025
halbarstainless.com,safepay,9/12/2025
halemakua.org,qilin,9/25/2025
Halvorsen Family Law Group,qilin,7/15/2025
"Hankin & Mazel, PLLC",pear,7/28/2025
Hanson Chambers,lynx,8/26/2025
Hanzestrohm,incransom,9/14/2025
HappyTenant,killsec,9/15/2025
hardwicktactical.com,safepay,8/29/2025
Harinera del Valle,sarcoma,8/6/2025
Harmony Electronics Corp,sinobi,8/13/2025
havtechpa.com,safepay,7/26/2025
HCK Capital Group,direwolf,8/5/2025
HD Media Systems,play,9/9/2025
Heart of America Medical Centr (HAMC),embargo,7/17/2025
heartlineoklahoma.org,incransom,7/21/2025
HeavenlyDental,obscura,9/5/2025
Heffner Toyota & Lexus,nitrogen,9/12/2025
heidelberggc.com.au/Australia/26.4GB,kairos,9/18/2025
Helical Auto Technology (India),akira,7/25/2025
Helpsonv,blackbyte,7/16/2025
heparks.org,qilin,9/29/2025
Herrman Law Firm,akira,8/1/2025
Hertz Farm Management,akira,7/29/2025
highdoc.de,lynx,9/4/2025
Hilco Metal Building & Roofing Supply,dragonforce,8/30/2025
Hill Peterson CarperBee & Deitzler,akira,8/22/2025
Hilldun,play,9/22/2025
hitachi-hta.com,warlock,8/17/2025
hitachi-tds.com,incransom,7/21/2025
HK Hardware & Engineering,lynx,8/20/2025
HKG Duty Free,dragonforce,7/2/2025
hmsaojose.com,global,8/20/2025
Hogan Construction Group,akira,8/22/2025
Home Solutions of Iowa,dragonforce,7/15/2025
Homsey Law Center,pear,9/14/2025
Hong Kong Victim,devman,7/5/2025
Hood Technology,akira,9/18/2025
Horizon Hydraulics,sinobi,8/20/2025
houra,warlock,8/17/2025
houxt,warlock,8/17/2025
Howard Financial & Associates,incransom,8/10/2025
hptc.org,abyss,7/26/2025
HTC_HÇôgtryckscenter_Sweden,incransom,7/17/2025
http://www.balkankalip.com,qilin,7/17/2025
http://www.hiec.com/,incransom,9/15/2025
https://eagleonline.net/,lynx,7/23/2025
https://gazomet.pl & https://cgas.pl,mydata,9/8/2025
https://heritagegrowth.com/,incransom,9/15/2025
https://ipathpr.com,mydata,9/4/2025
https://klinikdrindrajana.com/,satanlockv2,7/6/2025
https://thesandersfirm.com/,sarcoma,7/7/2025
https://www.cnh.com/,incransom,9/17/2025
https://www.injusa.com/,qilin,7/2/2025
HUB ASSET MANAGEMENT Co,qilin,9/25/2025
Huize Sint-Augustinus_BE,incransom,7/17/2025
Hulberg & Associates,play,7/2/2025
Human and Bridge Asset Management,qilin,9/15/2025
Humax Holdings,incransom,9/17/2025
Huntwood Industries,interlock,8/25/2025
Huron Regional Medical Center,beast,8/21/2025
hwacheon,gunra,9/10/2025
hydrometrics.com,qilin,8/26/2025
Hygrade Components,sinobi,8/13/2025
Hytrol,akira,8/16/2025
I.P. One LTD,arcusmedia,7/25/2025
IAD GmbH,sarcoma,9/17/2025
ibew1547.org,qilin,8/29/2025
identic.be,qilin,9/2/2025
idscorporation.com,qilin,8/20/2025
Ieee-apscon.org,flocker,7/31/2025
