Victim,Group,Date
Christian Community Aid,spacebears,1/22/2025
JOMARSOFTCORP.COM,clop,1/22/2025
www.americanstandard-us.com,ransomhub,1/22/2025
Jacobs & Thompson,lynx,1/22/2025
Hayloft Property Management,akira,1/22/2025
Omni Fiber LLC - Press Release,monti,1/22/2025
www.grohe.com,ransomhub,1/22/2025
ilemgroup.com,ransomhub,1/22/2025
iptime.com,funksec,1/22/2025
Architects West,akira,1/22/2025
www.manpower.com,ransomhub,1/22/2025
sdkgroup.com,ransomhub,1/22/2025
gaylord.org,safepay,1/22/2025
www.reesndt.com,eldorado,1/22/2025
Sawley Lock O'Callaghan,dragonforce,1/23/2025
BBBIND.COM,safepay,1/23/2025
Black Hills Regional Eye Institute,qilin,1/23/2025
PINELAND BHDD COMMUNITY SERVICES,spacebears,1/23/2025
FIO,8base,1/23/2025
www.missionbank.bank,ransomhub,1/23/2025
starkaerospace.com,incransom,1/23/2025
Enghouse (ex. Navita),akira,1/23/2025
WorldNet Telecommunications LLC,akira,1/23/2025
archaeologicalresearchservices.com,ransomhub,1/23/2025
Bwfg.at,cloak,1/23/2025
samsill.com,ransomhub,1/23/2025
reesndt.ca,eldorado,1/23/2025
Kooijman Vianen (kooijmanvianen.nl),FOG,1/24/2025
Arrow Motor Auctions,spacebears,1/24/2025
Hospital El Cruce,medusa,1/24/2025
Safco International Gen Trading,medusa,1/24/2025
Chappell Schools,medusa,1/24/2025
Berman Brothers,medusa,1/24/2025
Rees NDT Inspection Services,ElDorado,1/24/2025
CENTRIC.EU,clop,1/24/2025
BLUEYONDER.COM,clop,1/24/2025
PISPL.IN,clop,1/24/2025
LINFOX.COM,clop,1/24/2025
ESPRIGAS.COM,clop,1/24/2025
WESTERNALLIANCEBANK.COM,clop,1/24/2025
CLEO.COM,clop,1/24/2025
CLAWLOGISTICS.COM,clop,1/24/2025
CPS.EDU,clop,1/24/2025
SDITECHNOLOGIES.COM,clop,1/24/2025
HEARSTPOWER.COM,clop,1/24/2025
STEELBLUE.COM.AU,clop,1/24/2025
COVESTRO.COM,clop,1/24/2025
NISSINFOODS.COM,clop,1/24/2025
ENCOMPASSTECH.COM,clop,1/24/2025
ICERIVERGREENBOTTLECO.COM,clop,1/24/2025
BREAKTHROUGHFUEL.COM,clop,1/24/2025
PREMIERSUPPLIES.COM,clop,1/24/2025
CONSULTANTS.COM,clop,1/24/2025
SWEETSTREET.COM,clop,1/24/2025
OFSPORTAL.COM,clop,1/24/2025
SHEERLOGISTICS.COM,clop,1/24/2025
ALPINEFOODS.COM,clop,1/24/2025
C3GROUP.NL,clop,1/24/2025
JAKKS.COM,clop,1/24/2025
CREELED.COM,clop,1/24/2025
HERTZ.COM,clop,1/24/2025
Cabinet JEAN LOUVEL SAOUDI,8base,1/24/2025
icicibank.com,bashe,1/24/2025
De La Salle High School (dlshs.org),FOG,1/24/2025
ELTEK Group (eltekgroup.com),FOG,1/24/2025
Wannemacher Enterprises Inc,qilin,1/24/2025
ORU Mabee Center,rhysida,1/24/2025
www.shihka.com.hk,GDLockerSec,1/24/2025
www.lnrbda.gov.ng,GDLockerSec,1/24/2025
www.usmba.ac.ma,GDLockerSec,1/24/2025
aws.amazon.com,GDLockerSec,1/24/2025
TERRA.COM,clop,1/24/2025
NOWINC.CA,clop,1/24/2025
INNOTEKEP.COM,clop,1/24/2025
KEEACTIONSPORTS.COM,clop,1/24/2025
HILLBROS.COM,clop,1/24/2025
COYOTE.COM,clop,1/24/2025
NORTHERNONTARIOWIRES.COM,clop,1/24/2025
BMIUSA.COM,clop,1/24/2025
BUSINESSSYSINTEG.COM,clop,1/24/2025
RUIA.COM,clop,1/24/2025
EMKAY.COM,clop,1/24/2025
SPGUSA.COM,clop,1/24/2025
MADENGINE.COM,clop,1/24/2025
BRADLEYCALDWELL.COM,clop,1/24/2025
SULLYTRANSPORT.COM,clop,1/24/2025
SPADERFREIGHT.COM,clop,1/24/2025
ARTIKA.COM,clop,1/24/2025
BURRISLOGISTICS.COM,clop,1/24/2025
WHITMOR.COM,clop,1/24/2025
SEATTLECHOCOLATES.COM,clop,1/24/2025
UTILISMARTCORP.COM,clop,1/24/2025
CDRSOFTWARE.COM,clop,1/24/2025
CALEXISCS.COM,clop,1/24/2025
POLARISTRANSPORT.COM,clop,1/24/2025
AMPOL.COM.AU,clop,1/24/2025
USLUGGAGE.COM,clop,1/24/2025
OLAMETER.COM,clop,1/24/2025
www.pcm.com.mx,ransomhub,1/24/2025
PrimoTicketing,killsecurity,1/24/2025
genrepurchase.bankatm.in,funksec,1/24/2025
envirosep.com,abyss,1/25/2025
cellsciencesystems.com,safepay,1/25/2025
welcomewagon.com,safepay,1/25/2025
paradiseschools.org,safepay,1/25/2025
nutripack.eu,safepay,1/25/2025
mcpathology.com,safepay,1/25/2025
Keepz,killsecurity,1/25/2025
bigotti.ro,safepay,1/25/2025
DataSociete,killsec,1/25/2025
Jan Nygaard,dragonforce,1/25/2025
Metro Wire & Cable,spacebears,1/26/2025
punjab.gov.in,funksec,1/26/2025
Letâ€™s Secure Insurance,killsecurity,1/26/2025
www.fgse.cu.edu.eg,GDLockerSec,1/26/2025
achieverssciencejournal.org,funksec,1/26/2025
"AIshu, Eshoo",ransomhouse,1/27/2025
International AIDS Vaccine Initiative (iavi.org),incransom,1/27/2025
"Weeks, Brucker & Coleman, Ltd | Legal Services",everest,1/27/2025
www.scadea.com,babuk2,1/27/2025
www.computan.com,babuk2,1/27/2025
www.kovra.com.my,babuk2,1/27/2025
www.lapastina.com,babuk2,1/27/2025
www.industrialdealimentos.com,babuk2,1/27/2025
www.avantit.no,babuk2,1/27/2025
www.constelacion.com.sv,babuk2,1/27/2025
www.agenciahost.com,babuk2,1/27/2025
www.aretusamilano.it,babuk2,1/27/2025
www.betteraccountingsolutions.com,babuk2,1/27/2025
www.hcisystems.net,babuk2,1/27/2025
www.nrshealthcare.com,babuk2,1/27/2025
www.farmaciaflorio.com,babuk2,1/27/2025
www.skywaycoach.ca,babuk2,1/27/2025
"Baca County Feedyard, Inc",babuk2,1/27/2025
www.cyncsolutions.com,babuk2,1/27/2025
www.merchant.id,babuk2,1/27/2025
www.spmundi.com.br,babuk2,1/27/2025
www.siea.sk,babuk2,1/27/2025
www.dvttechnologyltd.com,babuk2,1/27/2025
www.rekamy.com,babuk2,1/27/2025
www.go4kora.tv,babuk2,1/27/2025
www.ykp.com.br,babuk2,1/27/2025
www.al-shefafarm.ro,babuk2,1/27/2025
headwaterco.com,babuk2,1/27/2025
www.shootinghouse.com.br,babuk2,1/27/2025
gstpam.org,babuk2,1/27/2025
indianaerospaceandengineering.com,babuk2,1/27/2025
lamundialdeseguros.com,babuk2,1/27/2025
bee-insurance.com,babuk2,1/27/2025
dealplexus.com,babuk2,1/27/2025
mandiricoal.net,babuk2,1/27/2025
fpsc-anz.com,babuk2,1/27/2025
senseis.xmp.net,babuk2,1/27/2025
thebetareview.com,babuk2,1/27/2025
wacer.com.au,babuk2,1/27/2025
workers.com.zm,babuk2,1/27/2025
gervetusa.com,babuk2,1/27/2025
singularanalysts.com,babuk2,1/27/2025
pti.agency,babuk2,1/27/2025
sincorpe.org.br,babuk2,1/27/2025
mtgazeta.uz,babuk2,1/27/2025
abd-ong.org,babuk2,1/27/2025
pbos.gov.pk,babuk2,1/27/2025
rtdc.gov.mn,babuk2,1/27/2025
skopje.gov.mk,babuk2,1/27/2025
maxprofit.mcode.me,babuk2,1/27/2025
zetech.ac.ke,babuk2,1/27/2025
precisediagnosticspacs.com,babuk2,1/27/2025
a top-tier law firm in Workers Compensation Defense!,babuk2,1/27/2025
APMS ( Advanced Physician Management Service LLC,babuk2,1/27/2025
nhbg.com.co,babuk2,1/27/2025
carc.gov.jo,babuk2,1/27/2025
zapopan.gob.mx,babuk2,1/27/2025
Kurosu & Co.SA - kurosu.com.py,babuk2,1/27/2025
gelco-s-a.com.br,babuk2,1/27/2025
viacaojacarei.com.br,babuk2,1/27/2025
WÃ¼rttemberger Medien,babuk2,1/27/2025
alentec.com,babuk2,1/27/2025
bocagroup.com,babuk2,1/27/2025
human.de,babuk2,1/27/2025
treehotel.co.uk,funksec,1/27/2025
qed.co.ug,funksec,1/27/2025
copral.com.br,babuk2,1/27/2025
Mark Resolve Inc,akira,1/27/2025
RDC Architects,qilin,1/27/2025
Prinston Pharmaceutical (huahaius.com),incransom,1/27/2025
lhps.org,incransom,1/27/2025
Grand Fire Protection,akira,1/27/2025
Aquasys,dragonforce,1/27/2025
Mapping Solutions,dragonforce,1/27/2025
https://leehartman.com,metaencryptor,1/27/2025
Alo Center (hq.aloteknik.se),lynx,1/27/2025
Lee Hartman & Sons,metaencryptor,1/27/2025
MYPERTAMINA INDONESIA,babuk2,1/28/2025
Mercy Supply Collaborative,akira,1/28/2025
www.healthcarewithinreach.org,ransomhub,1/28/2025
cnnindonesia.com,incransom,1/28/2025
sce.org.sg,lynx,1/28/2025
MYINDIHOME TELKOM INDONESIA,babuk2,1/28/2025
Neovita.de,cloak,1/28/2025
Kaisersbach.de,cloak,1/28/2025
"QCN CO., LTD",akira,1/28/2025
Carthage Police Department,rhysida,1/28/2025
INDONESIA TAXPAYER IDENTIFICATION NUMBER (NPWP),babuk2,1/28/2025
broward.edu,incransom,1/28/2025
muscogee.k12.ga.us,safepay,1/28/2025
tsmx.net.br,funksec,1/28/2025
metalurgica roma,monti,1/28/2025
BBLAWFIRM,monti,1/28/2025
Acoustiblok,monti,1/28/2025
lnetwork,monti,1/28/2025
delpackaging.com,kairos,1/29/2025
DEL Packaging,kairos,1/29/2025
Israel Ministry of National Security,handala,1/29/2025
boginmunns.com,qilin,1/29/2025
Menominee Tribal Clinic,incransom,1/29/2025
Mission Locale Montpellier ,incransom,1/29/2025
BENASSI IMMOBILIARE SAS DI BENASSI ROBERTO E C.,dragonforce,1/29/2025
ARDEX Australia,medusa,1/29/2025
Philip Laney & Jolly,medusa,1/29/2025
NG Automatics,medusa,1/29/2025
Aden Footwear,medusa,1/29/2025
English Braids,medusa,1/29/2025
Addison Saws,medusa,1/29/2025
Miles Industries,medusa,1/29/2025
Versalys.com,qilin,1/29/2025
City Of Beloit,incransom,1/29/2025
Boutin Jones (boutindentino.com),FOG,1/29/2025
Strategic Materials,lynx,1/29/2025
Heart to Heart Hospice,incransom,1/29/2025
Turning Leaf (TURNINGLEAF.local),incransom,1/29/2025
Delta Screen & Filtration,lynx,1/29/2025
Cimarron Telephone Company,play,1/29/2025
Commercial & Residential Management Group,play,1/29/2025
TRIVAD,play,1/29/2025
Wallin & Klarich,play,1/29/2025
daVinci,play,1/29/2025
Boldon James,incransom,1/29/2025
air europa,incransom,1/29/2025
tnlottery.com,incransom,1/29/2025
Rossi Real Estate (ROSSIDG.LOCAL),lynx,1/29/2025
The Wendt Agency,lynx,1/29/2025
Plymouth Foam,play,1/29/2025
Johnston,play,1/29/2025
Marshall & Bruce Printing,play,1/29/2025
Cahoon Farms,play,1/29/2025
By design,play,1/29/2025
Premierautocredit.com,cloak,1/29/2025
SCV Med Group,monti,1/29/2025
midwaymetals.com.vn,ransomhub,1/29/2025
"Gitlabs: Prasaga, HE2B, Kombinat",FOG,1/30/2025
Zschimmer and Schwarz,termite,1/30/2025
payahmedabadechallan.org,killsec,1/30/2025
soitinlaine.fi,threeam,1/30/2025
Tri-Sen Systems,lynx,1/30/2025
Scott Engineering,lynx,1/30/2025
KPI Engineering,lynx,1/30/2025
Jalaram Produce,lynx,1/30/2025
Engine Power Source,lynx,1/30/2025
Menway,akira,1/30/2025
Ottawa Family Physicians,qilin,1/30/2025
FENSTERMAKER,monti,1/30/2025
Benuta,akira,1/30/2025
Perfect Plastic,akira,1/30/2025
nenok.de,monti,1/30/2025
Silverado Contractors,lynx,1/30/2025
Centromedicoenova,cloak,1/30/2025
Night Hawk,play,1/30/2025
ibericar,monti,1/30/2025
"Gitlabs: Professional Computer, X-Pans, Propulsion Academy AG",FOG,1/30/2025
sunrise-soya.com,cactus,1/30/2025
ttucorp.com,cactus,1/30/2025
alkodistributors.com,cactus,1/30/2025
akran,qilin,1/31/2025
HIKARI SEIKO,qilin,1/31/2025
Southeast Supply,8base,1/31/2025
HEXPOL COMPOUNDING AMERICAS,qilin,1/31/2025
dms-ksa.com,funksec,1/31/2025
worldfabricinc.com,akira,1/31/2025
JFGV.ca,akira,1/31/2025
atlanticelectrics.com,akira,1/31/2025
cannara.ca,akira,1/31/2025
njcar.org,akira,1/31/2025
yhti.com,akira,1/31/2025
dkgrar.com,akira,1/31/2025
calfaucets.com,akira,1/31/2025
atr.com,akira,1/31/2025
simcointeriors.com,akira,1/31/2025
madisonforms.com,akira,1/31/2025
scrantonrealtors.org,akira,1/31/2025
isisecurity.com,akira,1/31/2025
sgbllp.com,akira,1/31/2025
ad.snadc.com,akira,1/31/2025
clarkpower.com,akira,1/31/2025
allbrightcotton.com,akira,1/31/2025
idrefjall.com,akira,1/31/2025
swissit.cz,akira,1/31/2025
irisib.com,akira,1/31/2025
foxconstructiongroup.co.uk,akira,1/31/2025
elf.uk.com,akira,1/31/2025
farmatodo.com,akira,1/31/2025
omniflow.com,akira,1/31/2025
rqsi.com,akira,1/31/2025
teligentems.com,akira,1/31/2025
